experiment_id,lambda,seed,final_error,avg_cos,phase,time
S2a-000,0.5,0,0.2623,-0.047764386223330374,intermediate,615.7946891784668
S2a-001,0.5,1,0.2701,-0.05429421596732156,intermediate,616.8217904567719
S2a-002,0.5,2,0.35150000000000003,-0.04798982033219452,intermediate,628.5926504135132
S2a-003,0.5,3,0.24219999999999997,-0.022413943435281657,intermediate,629.745532989502
S2a-004,0.5,4,0.31989999999999996,-0.03316138801044352,intermediate,629.4725384712219
S2a-005,0.5,5,0.20230000000000004,-0.08158160686990654,intermediate,640.9920761585236
S2a-006,0.5,6,0.35950000000000004,-0.0018085818726697705,intermediate,630.6534287929535
S2a-007,0.5,7,0.41700000000000004,-0.02314496934094956,collapsed,630.3103904724121
S2a-008,0.5,8,0.248,-0.010851297717353173,intermediate,630.7985506057739
S2a-009,0.5,9,0.32320000000000004,-0.02123653089864463,intermediate,632.9980635643005
S2a-010,0.5,10,0.41100000000000003,-0.02252484294732888,collapsed,634.6956925392151
S2a-011,0.5,11,0.21120000000000005,-0.03890858702823682,intermediate,631.7065060138702
S2a-012,0.5,12,0.34919999999999995,-0.023098154821550736,intermediate,620.0047936439514
S2a-013,0.5,13,0.24229999999999996,-0.04480346751363404,intermediate,616.8076300621033
S2a-014,0.5,14,0.2972,-0.029578331115148362,intermediate,622.8667411804199
S2a-015,0.5,15,0.2713,-0.0328340866430027,intermediate,632.9816408157349
S2a-016,0.5,16,0.33330000000000004,-0.03868348168118914,intermediate,624.4308664798737
S2a-017,0.5,17,0.34840000000000004,-0.003757262587073919,intermediate,619.1463792324066
S2a-018,0.5,18,0.2359,-0.03371620184791806,intermediate,616.7278950214386
S2a-019,0.5,19,0.3236,-0.03168639188784125,intermediate,615.3915712833405
S2a-020,0.5,20,0.3762,-0.013972369024481943,intermediate,616.268967628479
S2a-021,0.5,21,0.2541,-0.01964546926573218,intermediate,615.823014497757
S2a-022,0.5,22,0.2582,-0.03202057790554043,intermediate,616.1744649410248
S2a-023,0.5,23,0.3245,0.0028369820681525327,intermediate,629.1025989055634
S2a-024,0.5,24,0.21760000000000002,-0.08449247227779148,intermediate,616.3679330348969
S2a-025,0.5,25,0.2548,-0.025059329258997894,intermediate,615.7677989006042
S2a-026,0.5,26,0.2118,-0.06690414074229253,intermediate,616.0797784328461
S2a-027,0.5,27,0.32899999999999996,-0.012301423499002529,intermediate,616.6803197860718
S2a-028,0.5,28,0.45730000000000004,-0.04293906955204059,collapsed,616.7903776168823
S2a-029,0.5,29,0.27259999999999995,-0.021661637103611516,intermediate,621.2423107624054
S2a-030,0.5,30,0.4184,-0.02373624221778746,collapsed,616.0946431159973
S2a-031,0.5,31,0.49839999999999995,-0.04090963690861529,collapsed,617.5724918842316
S2a-032,0.5,32,0.23870000000000002,-0.02705835698496749,intermediate,619.1628921031952
S2a-033,0.5,33,0.3587,-0.041364676056528334,intermediate,618.533264875412
S2a-034,0.5,34,0.2902,-0.03756194716703434,intermediate,618.6226923465729
S2a-035,0.5,35,0.25349999999999995,-0.04876273464347349,intermediate,618.4305145740509
S2a-036,0.5,36,0.3762,-0.012239512237013384,intermediate,618.2704524993896
S2a-037,0.5,37,0.24870000000000003,-0.012022707715276536,intermediate,618.5015199184418
S2a-038,0.5,38,0.27290000000000003,-0.008595775934509404,intermediate,617.7189815044403
S2a-039,0.5,39,0.21909999999999996,-0.046857624973624244,intermediate,617.2019672393799
S2a-040,0.5,40,0.23250000000000004,-0.032661231243127614,intermediate,618.7525861263275
S2a-041,0.5,41,0.43720000000000003,-0.04206082377426578,collapsed,629.4528207778931
S2a-042,0.5,42,0.42910000000000004,-0.02459841463199879,collapsed,616.7253851890564
S2a-043,0.5,43,0.2107,-0.04020584331972083,intermediate,619.6681592464447
S2a-044,0.5,44,0.37229999999999996,-0.009271555695645941,intermediate,619.2984647750854
S2a-045,0.5,45,0.32630000000000003,-0.02673840296637072,intermediate,619.5676941871643
S2a-046,0.5,46,0.37329999999999997,-0.028023653908630326,intermediate,619.4254260063171
S2a-047,0.5,47,0.24819999999999998,-0.035714591267116,intermediate,619.7832520008087
S2a-048,0.5,48,0.2508,-0.030079101639703554,intermediate,617.5052998065948
S2a-049,0.5,49,0.2641,-0.015142747793223102,intermediate,616.7481074333191
S2a-050,0.5,50,0.364,-0.029980602818965904,intermediate,616.7516503334045
S2a-051,0.5,51,0.28869999999999996,-0.05286995547092447,intermediate,616.6018314361572
S2a-052,0.5,52,0.3843,0.01293896811488928,intermediate,616.0472168922424
S2a-053,0.5,53,0.4043,-0.014848554873719045,collapsed,616.8601171970367
S2a-054,0.5,54,0.24339999999999995,-0.029533835686285915,intermediate,617.3421635627747
S2a-055,0.5,55,0.20489999999999997,-0.03178523922984711,intermediate,617.2635550498962
S2a-056,0.5,56,0.3274,-0.0032175215329780073,intermediate,618.4038288593292
S2a-057,0.5,57,0.20320000000000005,-0.05357300845864264,intermediate,618.6763701438904
S2a-058,0.5,58,0.30579999999999996,-0.024148920108760207,intermediate,621.2387449741364
S2a-059,0.5,59,0.2198,-0.06808870811533892,intermediate,629.5912523269653
